,Ratings,sentiment,Reviews_fin
40,5,1,"browser, support, html, video, placed, order, st, november, appario, retail, pvt, ltd, received, todayth, nov, box, good, condition, sign, damage, month, manufacture, november, product, genuine, confirmed, serial, number, wasnt, powering, connecting, charger, apple, logo, come, screen, go, contacted, amazon, support, via, chat, told, per, apple, policy, contact, apple, support, apple, advisor, asked, try, charging, hour, didnt, work, took, apple, authorized, service, center, suspected, defective, hardware, sent, device, inspectionupdate, device, got, defective, got, replaced, apple, service, provider"
42,5,1,"obviously, product, descendant, mr, steve, job, pure, value, money, would, always, recommend, go, unless, planning, go, android, device, yes, ready, spend, connectivity, accessory, truly, said, great, power, come, great, responsibility"
43,4,1,"sent, faulty, usedopen, box, item, press, home, button, multiple, time, start, screen, unable, return"
44,5,1,"packing, received, mobile, case, protection, box, seen, handling, box, got, puncture, corner, due, bubble, bag, box, star, phone, star, amazon, service"
48,5,1,"writing, review, year, purchase, typing, phoneheheits, amazing, phone, delivered, tome, amazon, really, quick, well, packedthe, phone, given, problemsi, android, user, couldnt, keep, phone, month, without, showing, sign, failure, used, hang, become, slowheat, upetcbut, beauty, solid, rocki, dropped, got, stamped, shoeson, roadhad, tempered, glass, protector, shattered, nothing, happened, phonelovely, battery, capacityoverall, even, today, iphones, releasing, one, otherthis, phone, worth, buying, budget, restraintsdont, hesitate"
50,5,1,"life, phone, le, yr, small, part, got, faulted, service, center, asked, replace, complete, display, cost, around, k, worth, buy, believe, completely, disappointed, iphone, user, iphone, company, need, work, service, center, ab, manpower, n, provide, training, reduce, cost, service"
52,5,1,"ive, iphone, user, since, iphone, needed, upgraded, waiting, good, deal, though, would, liked, better, discount, decided, make, best, use, amazon, prime, salethe, phone, day, quite, early, able, really, comment, however, faith, apple, phone, get, quite, warm, prolonged, use, continues, might, ask, replacement, amazon"
55,5,1,"day, problem, start, issue, wifi, connectivity, internet, speed, till, last, day, struggling, apple, possible, diagnostic, result, seller, pls, replace, product, amazon, pls, get, replace"
56,5,1,"fan, apple, iphone, one, one, bought, month, hanged, died, standard, reply, pay, price, new, phone, get, changedproblems, include, power, issue, charging, issue, restarting, battery, die, etc, would, rater, buy, anything, never, apple"
58,5,1,"received, phone, dead, asked, return, asking, reach, apple, care, still, luck, multiple, attempt, product, got, replaced, working, fine, thanks, amazon"
59,5,1,"received, product, st, january, battery, problem, battery, draining, fastly, since, last, week, apple, authorised, service, centre, cochin, everyday, saying, clear, day, really, disappointed"
60,5,1,"total, waste, money, gadget, cannot, hold, power, utter, disappointing, spending, much, money, unfortunately, return, window, closed, due, covid, lockdown, could, return, within, specified, period"
64,5,1,"three, thing, product, received, dead, switching, didnot, receive, mm, adapter, mentioned, product, specification, inspite, amazon, saying, day, replacement, allow, place, replacement, redirect, apple, careyou, cannot, replace, product, faulty"
66,4,1,"facing, issue, calling, receiving, call, really, disappointed, apple, buy, amazon, think, product, faulty, worst, experience, till"
70,4,1,"excited, reciving, iphone, didnt, feel, anything, better, iphone, android, year, storage, suck, literally, problem, volume, cant, even, hear, person, voice, untill, unless, speaker, problem, friend, phone, bought, phone, everytime, put, speaker, even, private, talk, storage, biggest, issue, downloded, something, automatically, uninstall, apps, need, wait, app, install, feel, like, grandfather, era, one, biggest, disadvantage, doesnt, support, earphone, buy, original, apple, earphone, waste, money, time, cant, even, talk, people, charging, cuase, called, one, jack, never, buy, iphone, wont, even, recommend, anyone, buy, worth, money, made, life, almost, hell"
72,5,1,"hour, battery, life, full, charging, please, dont, buy, phone"
79,5,1,"nd, iphone, till, datelove, compact, size, phone, premium, feel, aluminium, bodybattery, life, major, draw, backmoderate, use, leave, end, dayfbchattinginstagram, heavy, medium, userscameras, front, n, back, good, bit, saturatedspeaker, volume, decentperformance, top, notch"
84,5,1,"bought, product, amazon, india, tried, starting, day, delivery, soon, started, seting, found, product, keep, switching, display, keep, flickering, hear, ringing, cant, see, anything, display, dont, thi, k, would, good, place, purchase, high, end, costly, product, would, suggest, prefer, store, rather, going, online, amazon, seller, trying, reach, couldnt, get, response"
87,5,1,"iphone, upgraded, iphone, able, see, difference, immediately, iphone, much, faster, iphone, picture, clarity, better, camera, selfie, camera, excellent, battery, life, almost, similar, iphone, combined, amazon, superfast, delivery, well, good, value, money, go"
89,5,1,"using, one, month, problem, io, still, bug, others, phone, work, perfectlybattery, life, good, giving, around, screen, time, mobile, data, turned, timego, want, good, round, phonebut, lack, headphone, jack, come, good, wireless, headset"
92,4,1,"dont, buy, battery, drain, quicklyamazon, delivering, manufactured, iphone, due, mobile, battery, getting, drain, quickly, full, charge, battery, finished, hour, us"
95,4,1,"never, thought, experience, apple, productgot, needed, second, handset, sim, found, well, pricedphone, kept, rebooting, day, called, customer, care, booked, appointment, local, service, provider, meantime, managed, upgrade, io, phone, stable, checked, service, provided, issue, reported, diagnostic, phone, still, keep, rebooting, intermittentnow, cant, make, call, receive, go, service, station, get, checkedapparently, seller, accepting, return, exchange, done, applereally, happy"
96,5,1,"battery, life, brand, new, iphone, took, le, min, go, stuff, nightmare, really, doesnt, matter, feature, work, reality, take, apple, service, centre, amazon, take, return, defective, productas, expected, apple, representative, blamed, amazon, amazon, customer, service, representative, blamed, apple, advice, buyer, dont, buy"
100,5,1,"true, review, month, usageshows, problem, month, usage, sound, go, suddenly, play, video, resume, restart, mobile, network, suddenly, disappeared, call, call, get, failure, resume, restart, poor, battery, life"
103,4,1,"nd, iphone, earlier, one, purchased, thru, flipkart, k, new, one, amazon, dec, kdefinitely, iphone, good, option, term, speed, size, pricehowever, seems, time, substandard, le, month, battery, capacity, reached, may, cost, cutting, idea, update, notice, cost, cutting, featuressuggest, evaluate, thoroughly, ordering"
105,5,1,"phone, issue, battery, drain, quickly, please, informed, replacement, process, complicated, amazon, customer, care, help, properly, day, replacement, trap, tried, replace, st, day, delivery, please, buy"
107,5,1,"awful, never, buy, recommend, buy, iphone, amazon, spent, phone, working, arrival, refuse, take, back, replace, instead, sent, repair, apple, stupid, policy, frustrating"
108,5,1,"product, recieved, defective, heating, problem, well, battery, draining, rapidly, also, phone, getting, diconnected, le, minute, time, dueto, uunknown, reason, restarting, phone, resolving, issue, temporarily, phone, returned, great, effort, amazon, customer, service, support"
111,4,1,"camera, finger, print, reader, screen, quality, good, premium, quality, body, major, disappointment, battery, discharging, day, even, battery, optimisation, dark, background, turn, location, etc, always, carry, power, bank, charger, going, cost, expected, battery, little, bit, better, least, day, full, charge"
117,5,1,"still, phone, worth, buying, apple, still, best, lcd, display, market, sound, quality, great, phone, lag, free, constant, update, apple, one, important, reason, buy, iphone, hardware, software, managed, company, expect, phone, keep, time, unlike, many, phone, manufacturer, stop, box, software, main, con, battery, life, provide, sleek, phone, apple, cut, battery, size, hence, dont, expect, much, screen, time, youre, gaming, enthusiast, watch, lot, video, phone, stand, time, however, great, latest, software, update, overall, good, phone, experience, apple, space"
120,5,1,"pro, handy, memory, management, idle, time, battery, managementconsscreen, body, ratio, could, better, already, iphone, x, pay, almost, double"
131,5,1,"dream, use, iphone, first, iphone, experience, really, amazing, phone, sound, quality, video, quality, extraordinarymy, next, dream, iphone, thankyou"
132,5,1,"worst, amazon, service, received, defective, product, amazon, providing, replacement, refund, two, day, purchase, even, battery, iphone, draining, fast, come, four, hour, full, charge, worst, trading, amazon"
134,4,1,"iphone, good, quality, phone, love, fact, screen, inch, mean, fit, pocket, comfortably, display, also, good, software, update, week, phone, registered, apple, id, touch, screen, smoother, roomy, htc, phone, apparently, cost, bought, launch, iphone, pushed, price, decision, regret"
138,5,1,"dont, buy, bad, phone, day, battery, health"
141,4,1,"device, charging, took, apple, care, confirmed, hardware, issue, sure, amazon, selling, device"
144,5,1,"bit, apprehensive, new, iphonesassembled, india, appario, retail, good, deal, current, phone, got, deadseems, motherboard, issue, bit, year, timewarranty, expiredi, using, year, iphone, assembled, china, backup, still, rocksolid, possible"
146,5,1,"screen, good, liked, itthe, default, get, overheat, u, minimise, apps, usageif, planning, play, game, better, look, another, mobileoverall, say, good, heating, issuechanging, review, phone, year, became, worsebattery, drain, hears, like, helljust, waste, money"
152,4,1,"battery, life, bad, presented, girlfriend, first, gift, tough, time, bad, experience, guess, u, got, defective, peice, got, touch, apple, customer, care, advised, online, asked, wait, fr, day"
154,4,1,"came, time, able, see, available, wifi, source, week, wifi, ever, shown, battery, life, pathetic, using, iphones, apple, product, decade, one, doesnt, look, real, specially, slow, screen, touch, anyways, cant, even, return, since, passed, day, period, return, dumbest, thing, buy, amzon, istore, day, return, policy, stay, long, without, wifi"
155,5,1,"battery, draining, like, hell, min, phone, call, draining, worse, video, call, dont, believe, draining, badly, video, playedcamera, also, good, blurry, imagesmay, guess, amazon, could, help, close, return, window, early"
156,5,1,"browser, support, html, video, much, disappointing, disgusting, thing, using, day, battery, life, reduced, also, video, mode, camera, working, smoothly, making, video, move, camera, camera, stand, still, able, capture, movement, feel, like, camera, hangedit, much, disappointing, buy, product, amazonplease, give, attention, issue, replace, product, soon, possible"
158,5,1,"battery, issue, battery, draining, fast, connecting, charger, current, passing, back, panel, phone, product, box, also, damaged, replacement, also, working, disappointing, please, replace, phone"
159,5,1,"bettery, berry, bad, ussing, month, day, bettery, coming"
161,4,1,"phone, getting, switched, raised, many, message, receive, update, still, expect, amazon"
162,5,1,"blank, screen, display, working, customer, service, told, problem, apple, product, cant, help, useless, amazon, service, ill, never, order, amazon, give, star, rating, play, store, useless"
167,4,1,"buyed, four, day, ago, good, problem, faced, battery, backup, iam, student, battery, percent, charged, attended, two, class, contains, half, hour, battery, percentage, percent, shocked, problem, faced, fingerprint, reader, camera, excellent"
168,5,1,"online, purchase, risky, late, response, customer, suffer, time, call, amazon, apple, maker, received, installation, support, one, call, must, arranged, every, delivery"
172,5,1,"amazing, phone, phone, heating, issue, doesnt, good, battery, life, want, experience, io, go, well, use, secondary, phone, main, battery, life, barely, use, phone, hour, without, charging"
175,4,1,"iphone, received, indian, version, product, working, good, body, fading, colour, apple, logo, went, silver, black, contacted, amazon, well, apple, one, taking, action, indian, manufacturer, degraded, value"
177,5,1,"got, product, working, second, day, working, returning, policy, showing, contact, apple, store, apple, person, asked, contact, amazon, great, problem, buy, heavy, amount, product"
178,5,1,"nice, product, everything, okay, phone, fabulous, please, buy, read, fake, review, also, thinking, buy, reading, review, decided, take, chance, got, brand, new, sealed, pack, phone, please, guy, u, trust, amazon, buy, phone, kotak, card, low"
180,5,1,"would, suggest, buy, iphone, amazon, never, mentioned, returnrefund, policy, iphone, day, got, phone, day, phone, heating, problem, im, using, fb, minute, phone, get, heated, contacted, amazon, say, go, apple, store, report, first, sent, defective, device, ready, refund, returneven, replacement, received, defective, phone"
192,5,1,"apple, iphone, st, day, battry, poor, quality, howcis, possible, customer, charge, beatry, time, day, feel, like, cheated, apple, amazon, giving, inferred, quality, product"
199,4,1,"poor, product, want, replace, product, battery, back, good, decreasing, every, min, recently, iphone, wasnt, stand, decresed, last, night"
200,4,1,"battery, suck, big, time, dont, buy, want, save, energy, internet, surfing, issue, resolution, also, read, fine, print, return, policy, wont, able, return, product"
201,4,1,"hi, got, phone, however, unable, hear, call, want, return, product, immaculate, condition, amazon, pls, help, return"
203,5,1,"talking, phone, iphone, there, doubt, performance, quality, yeah, iphone, longer, battery, life, looking, better, battery, life, product, power, bank, along, phone, travelling, rest, pretty, good"
204,5,1,"battery, life, every, body, know, type, phone, battery, issue, replace, delivery, product"
208,4,1,"dont, buy, apple, iphone, amazon, selling, yellowish, display, tampered, pack, drained, batterywasting, money, buy, iphone, amazon"
210,5,1,"purchase, product, good, batter, draining, fast, requested, alternate, product, heard, amazon, return, window"
214,5,1,"got, defective, iphone, delivered, today, amazon, device, even, getting, switch, even, unable, return, item, disappointed, amazon"
215,4,1,"getythis, last, day, houre, use, going, heating, contect, amazone, want, return, help"
216,5,1,"guy, dont, buy, particular, model, apple, iphone, gb, golddefect, home, key, phone, generates, heat, much, difficult, hold, phone, minute, worst, dangerous, quality, please, avoid"
219,4,1,"choose, mobile, value, money, battery, performance, bad, really, bad, performance, mobilemobile, good, condition"
224,4,1,"even, purchase, month, charger, working, head, phone, also, working, signal, issue, twice, charge, dayi, bad, experience, brand"
227,5,1,"utterly, flop, product, battery, life, charged, leave, without, touching, phone, battery, automatically, go, fasti, feel, shame, saying, apple, product"
228,5,1,"product, good, seller, bad, body, helped, time, gadget, working, properly"
231,4,1,"day, usage, iphone, screen, went, black, response, shocked, sure, disappointing, demotivating, invest, huge, money, buying, amazon, guess, duplicate, product"
233,5,1,"performance, phone, worst, phone, getting, heated, call, mineven, charge, getting, heatedi, able, use, phone, one, hour, single, dayi, requested, replacement"
237,5,1,"got, great, deal, dont, think, worth, paying, premium, v, used, earlier, felt, sameon, good, phone, battery, look, display, camera, etc"
240,5,1,"though, phone, give, good, quality, camera, performancebut, worrest, product, waste, money, worthsimply, screen, damage, sun, light, unbelievableim, customer, amazon, since, dont, know, amazon, help, itthanksramana"
245,4,1,"iphone, never, disappointed, using, iphone, since, last, yr, im, still, going, know, still, give, update, even, though, new, phone, launched"
248,5,1,"guy, selling, refurbished, product, new, withing, year, product, working, condition, fail, tried, reach, apple, care, ready, help, worst, seller"
249,5,1,"performance, apple, faster, helpful, workingbut, display, feel, manipulated, modified, original, first, apple, product, last, iphone, like, also, return, window, day, understood, change, time, frame, gone"
251,5,1,"charge, data, cable, working, call, amazon, told, contact, apple, store, tha, case, purchase, amazon, would, went, apple, store, purchase, phical, check"
252,5,1,"everythong, working, fine, like, touch, also, camera, quality, good, issue, witj, batter, within, day, usage, battery, health, got, percent"
257,5,1,"good, product, facing, problem, fingerprint, scanner, working, small, dust, r, wet, fingerprint, scanner, doesnt, scan"
261,5,1,"first, cellphone, battery, totally, discharged, face, poor, battery, backup, cellphone, heating, screen, touch, problem, littlebite, verry, late, replace, disbursement"
264,5,1,"nice, phone, except, battery, life, hardly, last, hr, heavy, user, gamersocial, medium, surfing, etc, heating, issue, run, smooth, otherwisenot, worthy, purchase, technological, advancement, given, date"
266,5,1,"worst, support, amazon, delivered, defective, product, returning, item, customer, support, helpingbetter, throw, money, burn"
267,5,1,"delivered, phone, duplicate, heating, new, phone, please, replace, asap"
268,5,1,"work, like, dream, use, android, phone, work, apps, iphone, class"
271,4,1,"purchased, product, mom, phone, oem, packing, new, initially, issued, delivering, yanam, amazon, easy, place, order, deliver, time, always, overall, happy, thanks, rajaustralia"
272,5,1,"met, expectation, size, weight, device, battery, life, could, definitely, better, leak, even, standby, anything"
276,5,1,"battery, drain, hour, typical, apple, issue, old, phone, need, updated, cost, money, avail, service, apple, never, catch, low, end, market, camera, okay, expect"
278,5,1,"everything, good, battery, bad"
280,5,1,"big, fan, apple, product, wife, gifted, phone, birthday, make, amazing, product, highly, recommended"
282,5,1,"iphone, series, really, beautiful, light, weighted, processer, awesome, compare, phone, budget, worth, n, obviously, apple, branding, doubt, service, n, delivery, provide, amazon, great"
285,4,1,"first, time, using, iphone, personal, use, tough, switch, android, io, initial, stage, later, got, know, wonder, iphone, great, delivery, geniune, one, order, second, thought"
286,5,1,"apple, never, let, handy, phone, whole, screen, easily, accessible, one, star, le, providing, casebox, earphone, click, great, picture, used, year, never, hanged, issue, reported"
288,5,1,"bad, product, phone, working, properly, month, old, regard, contacted, apple, service, centre, helped, money, totally, waste, dont, buy, seller, help"
292,5,1,"one, best, phone, camera, design, everything, small, detail"
294,5,1,"battery, life, pathetic, battery, health, reduced, using, daysbackup, also, good, even, complete, hour, movie, full, charge"
295,5,1,"word, say, phone, great, buy, also, anyone, want, go, one, star, le, delivery, amazon"
296,5,1,"think, got, used, one, earphone, stopped, working, day, nver, get, feeling, using, new, phone, cancelled, order, day, ordered, phone, paid, online, n, waiting, refund, received, phone, lockdown, period, option, left"
297,5,1,"easy, buy, phone, online, specially, youre, investing, almost, half, lakh, rupee, phone, say, name, enough, iphone, perfect, phone, perfectly, fit, hand, drawback, battery, life, drain, like, anything, watch, video, youtube, playing, game, rest, phone, good"
300,5,1,"mobile, get, heated, soon, talk, someone, call, min, get, heated, camera, also, get, blurred, put, charging, also, get, heated"
302,5,1,"iphone, great, bought, amazon, im, quite, happy, service, ive, ordered, pai, airpods, hoping, good, quality"
304,5,1,"heat, really, really, fastduring, charging, syncingproblem, battery, drainage"
307,4,1,"best, iphone, basic, feature, go, rose, gold, favourite, loved, stylish, look"
309,5,1,"love, product, genuine, product, fake, daar, lg, rha, tha, bhut, kahi, kuch, gadbad, naa, ho, jaaye, amazon, se, jbh, maine, kuch, managua, hmesha, achaa, result, orignal, product, mila, h, thnxbut, plzz, request, u, fast, delivery"
311,5,1,"battery, backup, good, video, calling, also"
312,5,1,"except, one, caveat, camera, expectationif, really, concerned, camera, buy, phone, apart, body, solid, indeed, robust"
317,5,1,"today, got, iphone, opened, wanted, didnt, start, delevered, defected, piece, please, replace, refund, money"
322,5,1,"worst, battery, condition, charge, drained, within, hour, hoped, amazon, best, platform, buying, good, product, trust, amazon, apple, left, vain, replacement, order, also, denied"
324,5,1,"everything, fine, battery, life, showed, month, usage"
326,5,1,"awesome, product, received, earlier, expected, time, thanks, seller, amazing, price, never, imagined, price, delivery, time, must, buy"
327,5,1,"poor, battery, performance, replacement, mobile, fin, g, much, difference, old, new, product, sufficient, usage, going, battery, life, need, use, mobile, case, battery, issue"
328,5,1,"network, issue, complained, amazon, executive, told, responsible, refuse, take, replacement, worst, experience, amazon"
331,4,1,"overheating, battery, drain, shortlybad, experience, apple, hang, also"
334,5,1,"battery, run, fast, issue, heating, memory, full, time, problem, started, day, purchase"
336,5,1,"iphone, camera, always, better, home, button, favourite, battery, life, good"
338,5,1,"pathetic, phone, bad, decision, buy, amazon, battery, becomes, zero, within, hour, usage, although, month, old, phone"
340,5,1,"mobile, always, warm, sometime, heat"
341,4,1,"dont, buy, keep, charge, night, mourning, get"
343,5,1,"phone, came, good, condition, want, make, phone, safe, long, time, order, good, back, cover, tempered, glass, battery, work, well"
344,5,1,"worst, product, charging, stable, phone, getting, discharged, even, switched, want, return, product"
345,5,1,"battery, life, absolutely, pathetic, bought, feb, request, amazon, replace, iphone"
348,5,1,"ordered, proper, iphone, packing, genuine, iphone, colour, ordered, far, issue"
352,5,1,"product, come, faulty, amazon, pathetic, policy, cant, get, replacement, c, saying, pay, visit, service, centre, mean, pay, visit, service, centre, giving, grand"
353,4,1,"decent, product, faced, problem, charger, multiple, time, get, replaced, time, though, got, new, one, free, apple, service, center, still, wasted, good, time"
355,4,1,"even, one, month, battery, getting, drained, within, hr"
357,5,1,"purchasing, iphone, later, day, battery, health, bad"
359,4,1,"nothing, likable, google, pay, like, simple, app, working, apple, phone, made, fool, customer, name, phone"
360,5,1,"browser, support, html, video, amazon, best, site, online, shopping, bcz, amazon, provide, original, product, u, trust, app"
363,5,1,"fingerprint, sensor, best, battery, life, poor"
364,4,1,"battery, life, poor, last, hr, maximumi, started, using, since, yesterdayi, request, replacement, return"
365,4,1,"phone, goodcamera, average, phone, performance, goodbut, apple, brand, samsung, also, performance, price, much, lower"
369,5,1,"battery, bad, get, drained, hour, normal, useso, decided, return, mobile, seller, arent, responding, favour"
371,5,1,"sharing, review, month, good, except, battery, backup"
372,5,1,"brand, brand, nothing, say, expected, second, apple, product, apple, laptop, last, year, happy"
374,5,1,"within, month, receipt, gone, order, despite, utmost, care, one, fine, morning, suddenly, stopped, working, screen, completely, black, response, one, month, purchase, please, replace, immediately"
376,4,1,"io, version, much, better, android, version, look, amazed, nd, many, thing, battery, life, poor"
377,5,1,"hang, day"
378,5,1,"always, ok, delivery, time, lateand, phone, battery, dead, low, battery"
384,5,1,"phone, value, money, price, range, also, ip, certified, phone, gaming, smartphone, medium, usage, phone"
386,4,1,"many, flaw, find, switching, android, iphone, like, battery, performance, expected, camera, quality, satisfied, costly, apps, android, found, similar, app, androidlast, advise, rethink, switching, iphone"
389,5,1,"box, opened, lightning, cable, adapter"
390,5,1,"sleek, cute, phone, battery, capacity, le"
392,4,1,"bought, iphone, day, back, new, well, older, charger, got, damaged, charging, phone, radiates, shock, near, charging, socketi, think, amazon, selling, faulty, phone"
396,5,1,"use, iphone, small, sizelight, waight, smooth, performanceand, best, audio, qualityand, superb, phone"
400,5,1,"poor, quality"
403,4,1,"device, working, properly, warm, im, using, speaker, working, properly, headphone, working, battery, life, phone, low, please, resolve, issue, replace, device"
404,4,1,"product, overall, excellent, charging, drain, soon, also, heating, issue, one, point, amazon, doesnt, give, refund, exchange, another, high, product, allows, user, replace, type, item"
408,5,1,"new, experience, iphone, every, thing, good, feature, missing, able, find, reject, calloption, incoming, call, slot, extra, memory"
412,4,1,"getting, heat, frequently"
413,5,1,"buy, phone, battery, backup, bad, called, costomer, care, respond, properly, said, first, show, handset, costomer, care, disappointed"
416,5,1,"excellent, product, star"
418,5,1,"great, product, build, quality, supercamera, super, compact, device, battery, lifeok, recharge, battery, twice, daily, daily, normal, use"
420,5,1,"hanging, frequentlyi, need, replacement, item"
423,5,1,"month, phone, suddently, dead, send, apple, told, unauthorized, modification, foundi, nt, anything, please, dont, buy, offerd, iphone, cheating, u"
430,5,1,"amazon, delivered, dead, phone, getting, redirected, different, place, get, replaced"
432,5,1,"iphone, good, amzone, fake, company, earphone, missing"
434,4,1,"need, say, great, phone"
435,5,1,"worst, product, charger, defective, doesnt, work, im, never, shopping, amazon"
437,4,1,"wasted, money"
440,5,1,"voice, clear, sound, low, replace, request, send, need, replacement"
441,5,1,"first, relieved, opening, box, actually, see, iphone, washing, barsafter, using, complete, month, surely, say, product, completely, satisfying, leaf, mark, disappointment"
442,5,1,"charger, earphone, genuine, dont, go, amazon"
444,5,1,excellent
446,5,1,"best, phone, ever, used, phone, good, fingerprint, reader, camera, awesomeand, phone, even, fast"
447,4,1,"wow, smooth, operation"
448,5,1,"horrible, battery, important, feature, electric, device, dead, without, itits, getting, exhausted, two, three, hourshighly, disappointed"
449,4,1,"iphone, amazing, productnice, form, factor, great, fusion, o, hardware, different, iphone, good, value, money"
452,5,1,"phone, good, give, great, feel, hand, using, recommend, buying"
454,4,1,"nice, good, work"
456,5,1,"worth, buy, using, last, year, working, absolutely, fine, went, single, time, service"
458,4,1,"awesome, usual"
459,4,1,"lut, lye, salye"
461,5,1,"heating, issue, watch, youtube, hour"
462,5,1,"worth, buying, performance, top, mark, look, feel, battery, life, may, disappoint, requires, time, charge, day, otherwise, product, adorable"
465,4,1,"dont, buy, iphones"
467,4,1,"battery, backup, le, even, le, hour, phone, useful, professional, official"
468,5,1,good
470,4,1,"loving, phone, like, hellits, buttery, smoothcamera, quality, goodfully, satisfied"
473,5,1,"device, powering, moment, received, even, several, hour, charging"
474,5,1,"worth, buying, even, best, phone, price"
476,5,1,"wonderful, phoneno, word, explain, good, battery, back, powerful, camera, feature, good, dont, compare, anything, go, itawasome"
477,5,1,"apple, name, enough, everything, perfectonly, battery, life, le"
478,5,1,"battery, performance, badsomething, wrong, phone, new, phone"
479,5,1,"love, phone"
480,5,1,"except, battery, life, everything, else, perfect"
486,5,1,"wasnt, expected, amazon, delivered, damage, product, white, mark, inside, display, square, type, black, thumb, right, side, display"
488,5,1,"everything, good, battery, back, great, compare, phone, apart, great, deal, issue, phone, im, using, since, month"
490,4,1,"hibattery, life, low, withstand, even, one, day"
492,5,1,"thankuuh, amazon, team, excellent, phone, camera, nice, stereo, speaker, fantastic, give, cinematic, experience, cool, retina, displaysexy, phone, h"
