,Customer_name,Reviewed_date,Ratings,Reviews,Review_title
60,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  This was a total waste of money. The gadget cannot hold any power and it is utter disappointing after spending so much money. Unfortunately the return window is closed and due to Covid lockdown I could not return it within the specified period,
61,jaywant,29 October 2018,1.0 out of 5 stars,"  Phone usage for two days reduced battery capacity to 98% and took 5hours to fully charge. I didn't bother to raise complaint with Amazon, instead made a visit Apple authorized service center-iCare and initially they were reluctant to accept the issue and tried to convince on its normal based on the usage!! finally they accepted it and said phone as multiple issues!! and got new replacement phone within a week.So, even if the phone is brand new, phones will be with some known factory defects.Only good thing is that Apple service didn't make any difference even if phone brought from retailer like Amazon, or may be they can't do that as the phone was showing valid serial and warranty.The new replacement phone is all good.",
62,Vivek,31 May 2020,1.0 out of 5 stars,"  This is a good phone, great experience but I received a defective piece. Apple service center didn't help either.",
63,Vishal Vartak,26 November 2020,1.0 out of 5 stars,  After receiving my item I checked battery health and it was 97 percent. In new phone it was impossible. I was sure that the item was an used one. Tried to replace the item several times but the link was not working for replace. Then I contacted with Amazon by telling that the product is not as per description of Amazon. Hence want to replace it. After 18 days when I am able to contact with customer care I am informed it is my own fault. Thanks both Amazon and Apple for selling a used item to me in the name of brand new item.,
64,Raj Kumar Haralalka,18 July 2019,5.0 out of 5 stars,  Three things1) The product I received was dead.. it was not switching on2) I didnot receive any 3.5mm adapter which was mentioned in product specifications3) inspite of amazon saying 7 day replacement... It does not allow you to place replacement and redirect to apple care.YOU CANNOT REPLACE THIS PRODUCT IF IT IS FAULTY.,
65,Pranav,20 July 2019,1.0 out of 5 stars,"  I will jot down some features for this phone:Pros:1. Very sturdy military grade aluminium body.2. Good battery backup.3. Water resistant.4. Awesome performance, no lags at all.5. What more could one ask for.Cons:1. 3.5 mm audio jack cannot be used and the headphones come with lightning connectors. So you cannot charge and listen to music at the same time. This is actually not a con but some may feel so, trust me as I have been using it for quite some time now, I do not have any grudges.2. That's all folks.Verdict:Best budget iphone that is water resistant and very sturdy.",
66,shyam katare,4 April 2019,4.0 out of 5 stars,"  Facing issue with calling and receiving the call, really disappointed from apple. Should not buy from Amazon. I think product is faulty. Worst experience till now.",
67,SUKHEN CHAKRABORTY,2 October 2020,1.0 out of 5 stars,  It was getting warm in 30 mins of usage. There was an issue with the microphone too. I could hear some disturbance while on call. It was never clear audio. . Camera quality was poor. But Amazon accepted my return without enquiring much detail.5 Star for amazon1 star for the product.,
68,GG,23 April 2019,1.0 out of 5 stars,  Worst experience ever...Phone dead with in 24 hours. Seller not provided any support.We have to go to apple service centre.They will repair and give it back. No replacement at all. Don’t buy it..Now onwards I will rethink before buying expensive items from Amazon.I was very happy with Amazon so far. This seller spoiled that...!!!,
69,RAHUL,26 January 2021,1.0 out of 5 stars,  Amazon gave me defective product. I tried to switch on the iPhone 7 many times but I failed then I contacted customer care. After two days a service maintener came at my home he told me phone is dead. Please do not purchase any product from Amazon. The employee of this company is not working truely i think they are exchange the product in the midway. I am facing the problem to return iphone 7. Please do not purchage any product from amazon,
70,Raveendar M,25 October 2020,4.0 out of 5 stars,"  I was so excited after reciving iphone. But i didn't feel anything better in iphone than android now after 3 years storage sucks literally. It has problem with volume. you can't even hear other person's voice untill unless you are on speaker. Same problem with friends phone too he bought with me same phone.  Everytime i have to put myself on speaker for even private talks. Storage is the biggest issue. If you have downloded something it automatically uninstall all the apps. When in need you have to wait for app install. I feels like m in the grandfathers era. One of the biggest disadvantage, It doesn't support any earphone, you have to buy original apple earphone. It is just a waste of money and time. you can't even talk to people while charging is on cuase of their so called one jack :(I will never buy iphone and won't even recommend anyone to buy because it is not worth the money. This made my life almost hell.",
71,Ameen,19 February 2020,1.0 out of 5 stars,"  This is my first iPhone.  So it took some time to get used to it.  But it is a different experience.Pros: Speed, Performance, iOS 13.2, Camera, Sound, Ear phone and DisplayCons: Battery (Even for moderate use, battery lasts hardly 10 to 12 hour) Very disappointing.",
